sample.ID \\ Descriptors	SRA.ID.s.	label	temperature	tissue	timepoint
24C_carcass_D9_rep1	SRR29261871	24C Carcass 9 days	24	Carcass	9
24C_carcass_D9_rep2	SRR29261880	24C Carcass 9 days	24	Carcass	9
24C_carcass_D9_rep3	SRR29261881	24C Carcass 9 days	24	Carcass	9
24C_midgut_D3_rep1	SRR29261872	24C Midgut 3 days	24	Midgut	3
24C_midgut_D3_rep2	SRR29261935	24C Midgut 3 days	24	Midgut	3
24C_midgut_D3_rep3	SRR29261944	24C Midgut 3 days	24	Midgut	3
28C_midgut_D7_rep1	SRR29261873	28C Midgut 7 days	28	Midgut	7
28C_midgut_D7_rep2	SRR29261909	28C Midgut 7 days	28	Midgut	7
28C_midgut_D7_rep3	SRR29261921	28C Midgut 7 days	28	Midgut	7
24C_midgut_D7_rep1	SRR29261874	24C Midgut 7 days	24	Midgut	7
24C_midgut_D7_rep2	SRR29261922	24C Midgut 7 days	24	Midgut	7
24C_midgut_D7_rep3	SRR29261932	24C Midgut 7 days	24	Midgut	7
20C_midgut_D7_rep1	SRR29261875	20C Midgut 7 days	20	Midgut	7
20C_midgut_D7_rep2	SRR29261879	20C Midgut 7 days	20	Midgut	7
20C_midgut_D7_rep3	SRR29261882	20C Midgut 7 days	20	Midgut	7
20C_midgut_D1_rep1	SRR29261876	20C Midgut 1 day	20	Midgut	1
20C_midgut_D1_rep2	SRR29261948	20C Midgut 1 day	20	Midgut	1
20C_midgut_D1_rep3	SRR29261960	20C Midgut 1 day	20	Midgut	1
20C_midgut_D1_rep4	SRR29261974	20C Midgut 1 day	20	Midgut	1
28C_midgut_D1_rep1	SRR29261877	28C Midgut 1 day	28	Midgut	1
28C_midgut_D1_rep2	SRR29261894	28C Midgut 1 day	28	Midgut	1
28C_midgut_D1_rep3	SRR29261931	28C Midgut 1 day	28	Midgut	1
24C_midgut_D1_rep1	SRR29261878	24C Midgut 1 day	24	Midgut	1
24C_midgut_D1_rep2	SRR29261906	24C Midgut 1 day	24	Midgut	1
24C_midgut_D1_rep3	SRR29261936	24C Midgut 1 day	24	Midgut	1
20C_carcass_D9_rep1	SRR29261883	20C Carcass 9 days	20	Carcass	9
20C_carcass_D9_rep2	SRR29261884	20C Carcass 9 days	20	Carcass	9
28C_carcass_D7_rep1	SRR29261885	28C Carcass 7 days	28	Carcass	7
28C_carcass_D7_rep2	SRR29261886	28C Carcass 7 days	28	Carcass	7
28C_carcass_D7_rep3	SRR29261888	28C Carcass 7 days	28	Carcass	7
28C_midgut_D13_rep1	SRR29261887	28C Midgut 13 days	28	Midgut	13
28C_midgut_D13_rep2	SRR29261913	28C Midgut 13 days	28	Midgut	13
28C_midgut_D13_rep3	SRR29261958	28C Midgut 13 days	28	Midgut	13
24C_carcass_D7_rep1	SRR29261889	24C Carcass 7 days	24	Carcass	7
24C_carcass_D7_rep2	SRR29261890	24C Carcass 7 days	24	Carcass	7
24C_carcass_D7_rep3	SRR29261891	24C Carcass 7 days	24	Carcass	7
20C_carcass_D7_rep1	SRR29261892	20C Carcass 7 days	20	Carcass	7
20C_carcass_D7_rep2	SRR29261893	20C Carcass 7 days	20	Carcass	7
20C_carcass_D7_rep3	SRR29261895	20C Carcass 7 days	20	Carcass	7
28C_carcass_D3_rep1	SRR29261896	28C Carcass 3 days	28	Carcass	3
28C_carcass_D3_rep2	SRR29261897	28C Carcass 3 days	28	Carcass	3
28C_carcass_D3_rep3	SRR29261899	28C Carcass 3 days	28	Carcass	3
28C_midgut_D9_rep1	SRR29261898	28C Midgut 9 days	28	Midgut	9
28C_midgut_D9_rep2	SRR29261916	28C Midgut 9 days	28	Midgut	9
28C_midgut_D9_rep3	SRR29261970	28C Midgut 9 days	28	Midgut	9
24C_carcass_D3_rep1	SRR29261900	24C Carcass 3 days	24	Carcass	3
24C_carcass_D3_rep2	SRR29261901	24C Carcass 3 days	24	Carcass	3
24C_carcass_D3_rep3	SRR29261902	24C Carcass 3 days	24	Carcass	3
20C_carcass_D3_rep1	SRR29261903	20C Carcass 3 days	20	Carcass	3
20C_carcass_D3_rep2	SRR29261904	20C Carcass 3 days	20	Carcass	3
20C_carcass_D3_rep3	SRR29261905	20C Carcass 3 days	20	Carcass	3
28C_carcass_D19_rep1	SRR29261907	28C Carcass 19 days	28	Carcass	19
28C_carcass_D19_rep2	SRR29261908	28C Carcass 19 days	28	Carcass	19
28C_carcass_D19_rep3	SRR29261910	28C Carcass 19 days	28	Carcass	19
24C_carcass_D19_rep1	SRR29261911	24C Carcass 19 days	24	Carcass	19
24C_carcass_D19_rep2	SRR29261912	24C Carcass 19 days	24	Carcass	19
24C_carcass_D19_rep3	SRR29261925	24C Carcass 19 days	24	Carcass	19
24C_midgut_D13_rep1	SRR29261914	24C Midgut 13 days	24	Midgut	13
24C_midgut_D13_rep2	SRR29261973	24C Midgut 13 days	24	Midgut	13
20C_midgut_D3_rep1	SRR29261915	20C Midgut 3 days	20	Midgut	3
20C_midgut_D3_rep2	SRR29261918	20C Midgut 3 days	20	Midgut	3
20C_midgut_D3_rep3	SRR29261919	20C Midgut 3 days	20	Midgut	3
24C_midgut_D9_rep1	SRR29261917	24C Midgut 9 days	24	Midgut	9
24C_midgut_D9_rep2	SRR29261971	24C Midgut 9 days	24	Midgut	9
28C_midgut_D3_rep1	SRR29261920	28C Midgut 3 days	28	Midgut	3
28C_midgut_D3_rep2	SRR29261924	28C Midgut 3 days	28	Midgut	3
28C_midgut_D3_rep3	SRR29261942	28C Midgut 3 days	28	Midgut	3
20C_midgut_D13_rep1	SRR29261923	20C Midgut 13 days	20	Midgut	13
20C_midgut_D13_rep2	SRR29261937	20C Midgut 13 days	20	Midgut	13
20C_midgut_D13_rep3	SRR29261938	20C Midgut 13 days	20	Midgut	13
20C_carcass_D19_rep1	SRR29261926	20C Carcass 19 days	20	Carcass	19
20C_carcass_D19_rep2	SRR29261927	20C Carcass 19 days	20	Carcass	19
20C_carcass_D19_rep3	SRR29261928	20C Carcass 19 days	20	Carcass	19
28C_carcass_D17_rep1	SRR29261929	28C Carcass 17 days	28	Carcass	17
28C_carcass_D17_rep2	SRR29261930	28C Carcass 17 days	28	Carcass	17
28C_carcass_D17_rep3	SRR29261933	28C Carcass 17 days	28	Carcass	17
24C_carcass_D17_rep1	SRR29261934	24C Carcass 17 days	24	Carcass	17
24C_carcass_D17_rep2	SRR29261939	24C Carcass 17 days	24	Carcass	17
24C_carcass_D17_rep3	SRR29261940	24C Carcass 17 days	24	Carcass	17
20C_carcass_D17_rep1	SRR29261941	20C Carcass 17 days	20	Carcass	17
20C_carcass_D17_rep2	SRR29261949	20C Carcass 17 days	20	Carcass	17
20C_carcass_D17_rep3	SRR29261950	20C Carcass 17 days	20	Carcass	17
20C_midgut_D9_rep1	SRR29261943	20C Midgut 9 days	20	Midgut	9
20C_midgut_D9_rep2	SRR29261945	20C Midgut 9 days	20	Midgut	9
20C_midgut_D9_rep3	SRR29261947	20C Midgut 9 days	20	Midgut	9
28C_carcass_D9_rep1	SRR29261946	28C Carcass 9 days	28	Carcass	9
28C_carcass_D9_rep2	SRR29261968	28C Carcass 9 days	28	Carcass	9
28C_carcass_D9_rep3	SRR29261969	28C Carcass 9 days	28	Carcass	9
28C_carcass_D13_rep1	SRR29261951	28C Carcass 13 days	28	Carcass	13
28C_carcass_D13_rep2	SRR29261952	28C Carcass 13 days	28	Carcass	13
24C_carcass_D13_rep1	SRR29261953	24C Carcass 13 days	24	Carcass	13
24C_carcass_D13_rep2	SRR29261954	24C Carcass 13 days	24	Carcass	13
20C_carcass_D13_rep1	SRR29261955	20C Carcass 13 days	20	Carcass	13
20C_carcass_D13_rep2	SRR29261956	20C Carcass 13 days	20	Carcass	13
28C_carcass_D1_rep1	SRR29261957	28C Carcass 1 day	28	Carcass	1
28C_carcass_D1_rep2	SRR29261959	28C Carcass 1 day	28	Carcass	1
28C_carcass_D1_rep3	SRR29261961	28C Carcass 1 day	28	Carcass	1
24C_carcass_D1_rep1	SRR29261962	24C Carcass 1 day	24	Carcass	1
24C_carcass_D1_rep2	SRR29261963	24C Carcass 1 day	24	Carcass	1
24C_carcass_D1_rep3	SRR29261964	24C Carcass 1 day	24	Carcass	1
20C_carcass_D1_rep1	SRR29261965	20C Carcass 1 day	20	Carcass	1
20C_carcass_D1_rep2	SRR29261966	20C Carcass 1 day	20	Carcass	1
20C_carcass_D1_rep3	SRR29261967	20C Carcass 1 day	20	Carcass	1
20C_carcass_D1_rep4	SRR29261972	20C Carcass 1 day	20	Carcass	1
